productid	brand	RAM_GB	HDD_GB	GHz	price
017162	hp	8	2000	2.3	57900
017504	HP	16	2000	3.2	90900
017648	Dell	4	500	3	67900
017770	MSI	4	500	2.3	43900
018321	Apple	8	500	3.2	140900
018413	HP	8	2000	2.5	66900
018580	Microsoft	8	2000	1.8	50900
018593	hp	4	500	3	64900
018714	Apple	4	2000	2.5	120900
018751	Toshiba	8	1000	3	68900
018799	DELL	16	2000	3	99900
019179	Lenovo	8	1000	2.3	39900
019263	Dell	16	2000	3	92900
019289	asus	16	1000	3	77900
019302	Microsoft	16	1000	2.5	65900
019506	DELL	8	500	1.8	43900
019791	Dell	16	2000	2.3	68900
019843	Lenovo	8	500	2.3	28900
019912	Samsung	4	1000	2.5	52900
020198	Dell	4	2000	2.5	72900
020472	Toshiba	16	1000	3	75900
020559	Dell	4	500	1.8	48900
020874	Acer	4	2000	3.2	78900
021171	Asus	4	1000	1.8	33900
021382	DELL	16	500	2.5	82900
021708	MSI	4	500	3.2	70900
021804	hp	4	2000	2.3	45900
021809	Toshiba	16	1000	2.3	65900
021821	hp	16	2000	1.8	53900
021840	Microsoft	16	500	2.3	56900
022115	MSI	16	2000	2.5	68900
022300	Microsoft	8	2000	3	75900
022303	HP	4	2000	1.8	43900
022308	hp	16	2000	2.5	72900
022682	Lenovo	4	2000	1.8	22900
022721	Acer	16	2000	2.5	73900
022726	Dell	8	1000	1.8	59900
022883	HP	4	2000	3	62900
022947	Apple	16	500	2.5	132900
023352	Toshiba	16	2000	3.2	86900
023382	Toshiba	16	1000	2.3	55900
023621	Asus	16	2000	2.3	69900
023669	MSI	4	500	2.3	47900
023724	Dell	4	500	1.8	49900
023899	Dell	4	1000	2.3	57900
023960	MSI	16	2000	3	82900
024027	DELL	16	2000	3.2	104900
024250	HP	16	1000	2.5	57900
024392	hp	8	2000	1.8	50900
024498	MSI	16	2000	2.3	67900
024620	Lenovo	4	500	1.8	14900
024753	Samsung	8	500	3	62900
024804	Apple	4	2000	2.3	109900
024960	Samsung	4	2000	3.2	85900
025086	Samsung	4	500	3.2	65900
025155	Lenovo	4	2000	2.3	32900
025287	Toshiba	4	500	3.2	66900
025305	MSI	8	500	1.8	45900
025474	HP	16	500	1.8	41900
025710	MSI	8	500	1.8	40900
025797	MSI	4	500	3.2	75900
026001	DELL	16	500	3.2	92900
026213	Samsung	4	500	3	66900
026807	Apple	16	2000	2.5	137900
026987	Toshiba	4	2000	2.3	48900
027058	Toshiba	4	500	2.5	55900
027389	asus	8	2000	1.8	43900
027534	HP	16	500	2.3	57900
027691	HP	8	500	1.8	42900
028054	MSI	16	2000	2.3	59900
028220	Apple	16	1000	2.3	116900
028397	hp	16	2000	3.2	90900
028401	unknown	8	1000	3	61900
028514	Asus	4	1000	3.2	67900
028532	Toshiba	16	1000	3	78900
028663	Acer	4	2000	1.8	47900
028780	Toshiba	8	1000	2.5	53900
028798	Acer	4	2000	1.8	44900
028816	HP	4	2000	2.5	67900
028904	Lenovo	16	2000	2.5	56900
028932	asus	16	2000	2.3	60900
029062	Microsoft	16	1000	1.8	49900
029349	Microsoft	8	500	2.3	39900
029351	Asus	4	500	2.3	41900
029410	Lenovo	16	2000	3.2	78900
029426	asus	4	1000	2.3	48900
029441	Toshiba	4	500	3	57900
029445	Apple	8	2000	2.5	123900
029505	MSI	16	500	3.2	86900
029558	MSI	8	500	2.3	52900
029856	Toshiba	4	1000	2.3	45900
029895	HP	4	1000	1.8	31900
030045	Dell	16	2000	2.5	91900
030139	Samsung	8	2000	1.8	42900
030341	Dell	8	1000	2.5	73900
030772	Dell	4	1000	2.3	63900
030856	Apple	16	500	2.3	115900
031028	hp	8	500	3	67900
031097	asus	16	1000	3.2	85900
031186	Toshiba	8	500	2.3	45900
031308	HP	8	1000	3	72900
031619	HP	16	2000	1.8	58900
031654	hp	8	2000	2.3	60900
031768	MSI	4	500	2.5	50900
031783	DELL	16	2000	3	95900
032084	Dell	16	1000	3	88900
032318	asus	4	2000	3.2	72900
032438	hp	4	2000	1.8	38900
032546	Dell	8	1000	1.8	62900
032908	hp	4	1000	2.3	46900
033044	MSI	16	500	3.2	83900
033111	Apple	16	1000	3	141900
033155	Asus	4	500	1.8	34900
033316	Acer	16	1000	1.8	52900
033365	Toshiba	16	2000	2.5	65900
033493	Acer	4	1000	1.8	37900
033503	hp	4	2000	3	65900
033505	Asus	16	500	2.3	58900
033915	Microsoft	4	1000	3	57900
034038	Lenovo	16	500	3	60900
034092	hp	4	1000	1.8	43900
034234	asus	8	1000	3.2	81900
034301	MSI	4	500	1.8	35900
034320	Lenovo	4	2000	1.8	24900
034385	Apple	8	1000	2.3	114900
034444	Acer	4	1000	3	62900
034698	Samsung	16	2000	3.2	87900
034805	Dell	8	1000	2.3	60900
034902	asus	4	2000	2.3	55900
035157	hp	16	1000	3	78900
035187	asus	8	500	2.3	50900
035199	DELL	8	1000	2.3	71900
035199	DELL	8	1000	2.3	71900
035249	hp	4	2000	1.8	41900
035313	Lenovo	4	2000	2.3	40900
035402	Lenovo	16	500	3	59900
035483	asus	16	2000	3	74900
035605	Dell	4	1000	2.3	60900
035740	Dell	16	2000	1.8	65900
035764	Dell	16	2000	1.8	67900
036042	Asus	4	2000	3.2	75900
036443	Apple	8	500	2.5	112900
036698	Lenovo	4	2000	2.5	48900
036704	asus	16	1000	2.3	49900
036709	Acer	16	1000	3.2	83900
037069	Microsoft	16	2000	3.2	95900
037097	DELL	4	2000	3.2	83900
037836	Samsung	4	500	3.2	64900
037893	Dell	16	500	1.8	58900
037893	Dell	16	500	1.8	58900
038087	Lenovo	16	2000	3	65900
038188	Asus	16	1000	2.3	57900
038351	HP	16	500	1.8	39900
038693	Lenovo	8	1000	2.3	37900
038703	Lenovo	8	2000	3	58900
038728	Samsung	8	1000	3	70900
038773	HP	4	2000	3	61900
038861	hp	16	500	2.3	59900
039224	Dell	8	1000	1.8	61900
039229	Asus	8	2000	1.8	48900
039421	hp	16	2000	1.8	53900
039448	MSI	4	500	2.3	40900
039482	Microsoft	16	2000	3.2	84900
039597	Dell	4	500	2.3	55900
039629	Apple	16	1000	2.5	132900
039919	DELL	4	2000	2.3	59900
040118	Microsoft	8	500	1.8	47900
040248	Microsoft	16	2000	2.5	73900
040412	HP	4	1000	2.3	50900
040450	MSI	16	1000	3.2	82900
040973	Apple	4	500	2.3	104900
041469	Asus	8	500	3.2	80900
041490	DELL	16	500	3.2	96900
041640	DELL	8	1000	2.5	70900
041776	DELL	8	500	3.2	87900
041916	Dell	4	500	1.8	47900
042158	HP	4	500	3.2	72900
042257	HP	16	2000	1.8	51900
042308	HP	16	500	3	77900
042461	Dell	8	500	1.8	58900
042575	HP	8	1000	1.8	41900
042801	Lenovo	16	2000	3	66900
042825	HP	16	1000	3.2	83900
042837	HP	8	1000	3.2	78900
042900	MSI	16	1000	2.3	51900
043418	Apple	4	2000	3	135900
043534	Toshiba	16	1000	3	70900
043595	DELL	8	500	2.5	69900
043827	DELL	8	1000	1.8	57900
043948	Toshiba	8	1000	3.2	84900
044197	MSI	4	500	2.3	39900
044203	Microsoft	16	1000	2.3	60900
044369	MSI	4	500	1.8	29900
044534	asus	8	2000	1.8	44900
044547	HP	4	1000	3.2	73900
044648	unknown	16	2000	3	82900
045025	Samsung	8	500	3	66900
045026	asus	16	1000	3.2	79900
045334	Toshiba	8	2000	3.2	83900
045485	Lenovo	4	1000	3.2	54900
045641	Apple	8	1000	3.2	142900
045998	Samsung	8	2000	1.8	46900
046072	asus	16	2000	2.5	63900
046074	Asus	4	1000	3	67900
046186	HP	4	500	2.3	42900
046372	HP	8	1000	3	68900
046632	Acer	8	2000	1.8	48900
046640	Microsoft	8	1000	3	64900
046682	Dell	16	2000	2.5	86900
046714	Microsoft	4	2000	3.2	75900
047129	Apple	16	2000	2.3	130900
047311	Dell	16	500	2.5	78900
047766	Dell	4	2000	2.3	71900
048246	DELL	8	1000	1.8	57900
048287	MSI	4	500	2.3	43900
048379	HP	16	500	3	78900
048414	HP	4	1000	2.3	41900
048428	hp	4	500	3.2	66900
048776	HP	16	500	1.8	37900
049165	Dell	8	500	3.2	93900
049209	Apple	16	500	2.5	125900
049290	asus	16	1000	1.8	45900
049726	hp	4	1000	3	61900
049814	hp	8	1000	1.8	46900
050026	hp	16	2000	1.8	59900
050182	asus	8	500	1.8	40900
050276	HP	16	2000	3	82900
050292	Acer	8	2000	3.2	85900
050318	Lenovo	16	500	1.8	37900
050423	Dell	16	500	2.3	69900
050593	asus	8	500	1.8	39900
050672	MSI	16	1000	3	77900
050854	Dell	8	2000	2.3	64900
050909	Apple	16	2000	3	153900
051062	DELL	16	1000	1.8	66900
051081	hp	16	500	2.5	57900
051122	Toshiba	16	500	1.8	45900
051131	HP	8	2000	2.3	55900
051205	Dell	16	1000	2.3	76900
051332	Apple	16	500	3.2	144900
051569	MSI	16	2000	1.8	58900
051714	Acer	8	500	2.3	51900
051843	Acer	16	500	2.5	56900
051929	MSI	4	2000	3.2	78900
051955	Lenovo	4	2000	2.3	35900
051989	asus	4	1000	2.5	57900
052315	DELL	4	1000	2.3	57900
052417	MSI	16	2000	2.5	67900
052471	hp	8	2000	3.2	79900
052564	Dell	16	2000	3.2	101900
052580	Lenovo	8	1000	3.2	65900
052628	Asus	8	500	1.8	41900
052749	Asus	16	1000	2.5	62900
052878	DELL	16	1000	3.2	102900
052925	Apple	16	2000	2.5	130900
053215	MSI	4	1000	2.5	59900
053224	Dell	8	500	3	90900
053807	Dell	4	500	1.8	49900
053836	asus	8	2000	3	72900
053972	MSI	16	2000	2.3	64900
054459	DELL	16	500	3	87900
054972	HP	16	500	2.3	60900
055149	Apple	16	500	1.8	110900
055199	Lenovo	8	2000	3	57900
055397	MSI	16	2000	2.5	75900
055413	asus	16	2000	1.8	52900
055483	Microsoft	8	2000	1.8	46900
055539	Lenovo	16	500	3.2	71900
055586	Toshiba	4	2000	2.3	61900
055710	HP	8	1000	1.8	40900
055749	DELL	16	1000	2.5	78900
055898	Dell	8	500	1.8	48900
056121	Toshiba	16	2000	2.3	63900
056291	Apple	16	2000	2.5	133900
056481	Toshiba	16	2000	3.2	95900
056495	Apple	8	500	3.2	140900
056520	Toshiba	16	500	3	70900
056608	Dell	8	2000	2.5	76900
056623	MSI	4	500	1.8	29900
056934	Microsoft	16	2000	1.8	49900
057258	MSI	8	500	3	64900
057570	Dell	4	500	3.2	82900
057898	Acer	4	500	2.5	48900
058067	Microsoft	4	1000	2.3	42900
058121	Lenovo	8	2000	2.3	36900
058256	MSI	16	1000	2.3	49900
058368	Microsoft	4	500	3.2	68900
058651	Lenovo	16	1000	3.2	67900
058704	hp	4	2000	2.3	53900
058715	asus	16	1000	3.2	79900
058722	Asus	16	500	3	66900
058758	Microsoft	4	500	3	59900
058776	DELL	4	500	3.2	84900
059297	Acer	8	500	3	67900
059469	hp	16	500	3	67900
060083	asus	16	2000	1.8	60900
060127	asus	4	2000	3.2	77900
060236	HP	16	1000	3.2	92900
060299	Asus	4	1000	3.2	75900
060489	Microsoft	8	1000	3.2	79900
060529	Dell	4	500	2.5	67900
061103	HP	16	500	2.5	52900
061272	asus	16	500	3.2	79900
061304	Dell	4	1000	2.5	69900
061617	asus	16	2000	3	78900
061618	DELL	16	500	3.2	103900
061625	hp	4	500	2.3	43900
061722	Acer	16	2000	1.8	57900
061778	asus	4	1000	2.5	60900
061993	MSI	8	2000	2.3	55900
062054	Lenovo	8	500	2.3	31900
062122	asus	8	2000	3	75900
062159	DELL	8	2000	1.8	69900
062512	Apple	8	1000	2.3	115900
062562	Microsoft	8	2000	3	74900
062599	Apple	4	1000	3.2	142900
062612	DELL	8	2000	2.5	78900
062910	Asus	4	2000	2.3	50900
063033	Acer	16	2000	2.3	69900
063146	DELL	16	500	1.8	58900
063217	HP	8	500	1.8	50900
063294	HP	4	500	1.8	37900
063561	asus	16	2000	3.2	90900
064027	Dell	8	1000	2.3	67900
064139	Lenovo	8	2000	1.8	39900
064322	Samsung	4	1000	3	59900
064449	DELL	16	500	2.3	68900
064661	Toshiba	4	500	3	66900
064698	Microsoft	8	2000	3.2	86900
064700	unknown	16	500	2.5	72900
065256	MSI	4	2000	2.5	54900
065728	Apple	16	1000	3	137900
065880	DELL	4	500	3.2	83900
066373	HP	16	2000	3	82900
066579	DELL	16	1000	3	87900
066780	Apple	4	1000	3.2	137900
067462	Toshiba	16	2000	1.8	50900
067470	Apple	4	1000	3.2	140900
067528	hp	8	500	3	71900
067625	Samsung	16	500	2.3	50900
067670	DELL	8	500	2.5	70900
067833	Lenovo	16	500	3	58900
068164	Microsoft	4	2000	1.8	34900
068282	Samsung	8	1000	1.8	47900
068392	Lenovo	8	2000	2.5	44900
068713	Samsung	8	1000	2.5	60900
068713	Samsung	8	1000	2.5	60900
068837	Lenovo	8	2000	3	54900
068845	Lenovo	16	1000	1.8	40900
068867	Toshiba	4	1000	2.3	41900
068931	Lenovo	8	2000	2.5	45900
068948	hp	4	500	2.3	39900
069038	Asus	8	1000	1.8	46900
069336	HP	4	500	2.3	40900
069453	asus	4	2000	3	62900
069766	Acer	4	1000	2.5	56900
069890	Lenovo	16	2000	2.5	51900
069948	hp	16	500	3	66900
070078	Dell	4	1000	3	74900
070088	hp	16	1000	2.5	58900
070156	HP	16	2000	3.2	90900
070234	Lenovo	4	2000	3.2	63900
070366	Acer	16	1000	3	67900
070584	Asus	8	1000	2.5	60900
071048	Asus	8	500	3.2	78900
071177	HP	8	1000	3.2	84900
071453	MSI	8	500	2.3	52900
071901	asus	16	500	2.3	51900
071972	Dell	16	2000	1.8	70900
072004	DELL	8	500	3.2	97900
072024	Toshiba	4	2000	3.2	77900
072106	Acer	8	500	2.5	51900
072125	Toshiba	4	500	3.2	68900
072168	Microsoft	16	2000	2.5	69900
072379	Toshiba	8	500	2.5	60900
072583	Toshiba	16	500	1.8	40900
072664	MSI	16	2000	1.8	51900
072728	Samsung	4	500	3.2	70900
072843	asus	4	2000	2.3	48900
073068	Apple	4	2000	1.8	105900
073229	Microsoft	16	500	3.2	79900
073332	Lenovo	4	500	2.3	17900
073660	Apple	16	500	2.5	128900
073718	Asus	16	1000	3.2	92900
074554	Lenovo	8	1000	1.8	26900
074794	Dell	8	500	1.8	59900
074926	Samsung	8	500	1.8	31900
074978	Samsung	4	500	2.5	51900
075029	Lenovo	16	2000	2.3	49900
075248	Microsoft	16	500	2.3	53900
075510	hp	8	500	1.8	35900
075913	Lenovo	16	500	3	50900
075952	DELL	16	500	3.2	99900
076089	Asus	8	1000	2.3	47900
076196	hp	16	2000	1.8	41900
076281	Dell	4	1000	1.8	56900
076349	Asus	4	500	2.3	41900
076360	Microsoft	16	2000	3	79900
076398	asus	4	2000	3.2	74900
076512	Lenovo	16	2000	3	68900
076660	Apple	8	2000	2.3	118900
076797	unknown	8	2000	1.8	47900
076943	Apple	4	2000	2.5	127900
077276	MSI	16	1000	3.2	81900
077672	Toshiba	4	2000	2.3	55900
078092	Microsoft	8	500	2.3	44900
078174	MSI	4	2000	2.3	48900
078403	hp	16	500	3	68900
078849	Lenovo	8	2000	2.5	47900
079235	HP	16	1000	1.8	56900
079495	DELL	4	1000	2.3	54900
079969	Asus	16	500	3.2	85900
080188	Acer	16	2000	3	78900
080213	Dell	4	500	1.8	48900
080269	Toshiba	16	2000	3	75900
080269	Toshiba	16	2000	3	75900
080280	Lenovo	4	1000	1.8	28900
080430	asus	8	1000	1.8	42900
080655	Samsung	4	1000	2.3	44900
080912	DELL	8	2000	3.2	98900
081079	Microsoft	16	2000	2.3	57900
081205	DELL	8	2000	3.2	105900
081231	hp	4	500	3.2	78900
081658	Apple	16	1000	2.3	131900
081712	HP	16	1000	2.5	66900
082059	DELL	16	2000	3	91900
082127	Acer	8	1000	2.3	47900
082281	Microsoft	16	500	2.5	61900
082333	DELL	4	500	3.2	81900
082607	DELL	16	1000	3	94900
082722	Microsoft	8	1000	2.3	54900
082939	Apple	16	1000	1.8	114900
083220	Dell	16	500	3.2	97900
083247	Microsoft	4	2000	3.2	77900
083255	HP	4	2000	1.8	39900
083331	Samsung	4	500	3	65900
083634	asus	16	1000	3	74900
083709	Dell	8	2000	1.8	65900
083931	MSI	4	2000	1.8	44900
084093	Samsung	4	2000	2.5	55900
084121	Acer	8	2000	2.5	67900
084211	Lenovo	4	1000	2.3	29900
084305	Microsoft	8	2000	3.2	78900
084409	Apple	16	2000	3.2	148900
084728	Acer	8	500	1.8	41900
084908	HP	4	500	2.5	53900
084935	Microsoft	8	1000	1.8	39900
085062	MSI	16	2000	2.5	70900
085115	Dell	16	1000	3.2	97900
085309	Asus	16	1000	1.8	45900
085392	Acer	16	2000	3	76900
085528	asus	8	2000	3	78900
085590	Asus	4	2000	1.8	41900
085789	Microsoft	8	500	1.8	37900
086051	DELL	8	2000	2.3	70900
086111	Microsoft	8	2000	3	77900
086150	Toshiba	4	500	2.5	51900
086177	Asus	8	1000	2.5	61900
086271	MSI	4	2000	3.2	80900
086284	Lenovo	8	1000	3.2	57900
086804	DELL	8	1000	1.8	64900
086946	Microsoft	8	2000	3.2	83900
087143	hp	16	1000	2.3	56900
087348	Acer	4	500	3.2	66900
087393	Dell	4	1000	2.5	68900
087847	Microsoft	8	1000	3	68900
087873	Acer	8	2000	2.3	65900
087873	Acer	8	2000	2.3	65900
088111	HP	8	500	3	72900
088302	Lenovo	16	500	2.3	39900
088398	MSI	8	500	2.5	49900
088751	Asus	4	1000	1.8	35900
088773	hp	8	2000	2.3	54900
088905	MSI	4	1000	2.5	53900
089104	DELL	4	2000	1.8	64900
089570	asus	4	1000	3.2	73900
089677	Toshiba	16	1000	2.5	58900
089745	MSI	4	2000	2.3	54900
089846	HP	8	2000	1.8	53900
089858	DELL	8	2000	1.8	67900
089870	Acer	8	500	1.8	41900
089963	hp	4	1000	1.8	34900
090445	hp	8	2000	3	73900
090553	DELL	16	2000	3.2	110900
090639	Microsoft	16	2000	1.8	55900
090751	Microsoft	16	2000	1.8	52900
090835	Asus	8	500	1.8	38900
091058	Toshiba	16	2000	3.2	93900
091147	hp	4	500	2.3	45900
091190	Dell	16	500	3.2	96900
091687	MSI	16	2000	2.5	72900
091709	Samsung	4	500	3.2	69900
091831	Apple	8	2000	3.2	152900
091878	DELL	16	2000	2.3	71900
092803	Microsoft	4	1000	2.3	42900
092953	HP	4	2000	2.5	61900
093031	MSI	8	1000	3.2	82900
093376	HP	4	500	2.3	40900
093474	Toshiba	8	1000	3.2	77900
094032	hp	16	2000	1.8	51900
094204	Asus	8	500	3	63900
094247	Apple	4	1000	1.8	101900
094286	Acer	4	1000	3	64900
094451	DELL	16	500	2.5	77900
094678	asus	16	2000	2.3	61900
094974	HP	16	500	1.8	43900
095232	HP	8	500	1.8	47900
095563	Microsoft	4	2000	3.2	74900
095583	Lenovo	4	1000	2.5	35900
095635	HP	4	1000	2.5	50900
095883	Lenovo	4	2000	2.3	34900
095894	MSI	16	2000	3	80900
096117	Apple	16	2000	1.8	118900
096221	Samsung	4	2000	3.2	79900
096239	Dell	16	1000	2.3	77900
096242	Toshiba	4	500	3	55900
096479	Samsung	4	1000	2.5	47900
096577	hp	8	1000	1.8	39900
096742	Toshiba	4	2000	3.2	74900
096823	Toshiba	8	2000	2.5	62900
097566	Dell	16	500	1.8	65900
097734	Acer	16	500	3.2	76900
097737	Toshiba	4	500	2.3	33900
097823	HP	8	2000	3.2	81900
098324	DELL	4	500	2.3	55900
098551	asus	16	1000	2.5	69900
098581	hp	4	1000	1.8	37900
098688	unknown	16	1000	3.2	98900
098990	Toshiba	4	1000	3.2	68900
099125	Apple	16	500	2.3	118900
099463	Lenovo	16	500	3.2	67900
099552	Toshiba	8	1000	3	73900
099635	MSI	16	1000	1.8	50900
099841	hp	4	1000	3.2	71900
100189	Apple	16	500	2.5	130900
100227	Asus	16	2000	3.2	94900
100605	Asus	16	2000	3	84900
100751	asus	16	1000	2.5	67900
100786	Acer	4	500	1.8	34900
100877	Apple	16	1000	3.2	152900
101417	Dell	16	500	3.2	97900
101442	Acer	8	2000	1.8	44900
101729	DELL	4	2000	2.5	65900
101941	asus	16	500	2.3	58900
101984	MSI	8	2000	2.5	67900
102295	asus	4	2000	2.5	62900
102369	asus	4	500	1.8	33900
102383	Apple	4	500	3	131900
102473	MSI	4	2000	3.2	77900
102941	MSI	8	500	3.2	75900
102946	Apple	8	2000	3.2	151900
102954	Apple	4	2000	2.5	119900
102974	Dell	8	500	1.8	56900
103232	Lenovo	4	2000	2.3	40900
103232	Lenovo	4	2000	2.3	40900
103256	Acer	16	500	1.8	53900
103623	hp	4	500	2.3	42900
103800	Dell	4	500	2.5	69900
103881	asus	8	500	3.2	77900
104387	DELL	4	2000	2.3	65900
104422	hp	8	2000	3	71900
104602	Samsung	8	500	2.5	64900
104793	Samsung	16	1000	2.5	60900
104840	Acer	16	1000	3	71900
104893	asus	8	1000	3	66900
105043	Lenovo	16	2000	2.5	57900
105399	MSI	4	2000	3.2	76900
105561	DELL	8	500	3	81900
105564	DELL	4	500	1.8	56900
105890	Acer	4	1000	1.8	35900
105972	MSI	4	1000	1.8	38900
106164	DELL	4	500	2.5	63900
106299	asus	4	500	2.3	38900
106366	Acer	16	2000	1.8	41900
106721	Samsung	4	500	2.3	48900
106999	asus	16	2000	1.8	46900
107026	Dell	8	1000	3.2	95900
107210	hp	16	1000	2.5	70900
107219	DELL	16	500	3	86900
107220	HP	8	1000	3	67900
107499	Asus	4	2000	3.2	74900
107589	hp	16	500	2.5	64900
107593	Asus	4	1000	2.5	50900
107645	Dell	4	1000	1.8	56900
107756	MSI	16	1000	3.2	79900
108092	Dell	8	1000	2.3	69900
108337	Toshiba	8	1000	3.2	82900
108420	Toshiba	16	1000	3.2	85900
108486	Samsung	4	1000	2.5	48900
108618	Dell	8	2000	2.3	69900
108635	HP	16	1000	3	73900
108687	Acer	16	2000	2.5	64900
108767	Dell	16	2000	3	103900
109081	Microsoft	8	2000	2.3	55900
109190	HP	8	500	3.2	76900
109196	asus	8	1000	2.3	57900
109234	DELL	8	500	3	79900
109466	Toshiba	4	1000	2.3	46900
109469	HP	16	1000	2.5	65900
109632	hp	4	500	2.3	46900
109687	Apple	4	1000	3.2	140900
109987	Microsoft	4	1000	2.5	55900
109996	Microsoft	4	500	3.2	78900
109999	MSI	8	2000	2.5	67900
110005	Dell	4	2000	3	79900
110113	Apple	4	1000	3	123900
110717	Samsung	16	500	3	71900
110776	Lenovo	4	1000	2.3	29900
110872	Lenovo	16	1000	2.3	42900
111027	unknown	8	2000	2.5	61900
111059	Microsoft	4	2000	2.5	56900
111116	hp	8	1000	2.5	63900
111359	Microsoft	4	2000	2.5	51900
111675	Toshiba	4	2000	3.2	88900
111766	Dell	16	2000	2.5	81900
112100	asus	16	500	3.2	82900
112113	MSI	16	1000	1.8	52900
112119	Microsoft	16	500	3.2	77900
112567	HP	8	500	3	68900
112637	MSI	4	1000	2.3	49900
112926	Toshiba	16	500	3	74900
113090	hp	4	1000	3	59900
113585	HP	16	1000	3	66900
113695	Apple	4	1000	3.2	137900
113818	hp	8	500	3.2	70900
113982	MSI	4	1000	2.3	45900
114310	Acer	8	2000	2.5	64900
114404	Microsoft	4	500	2.3	45900
114465	Asus	16	1000	2.5	63900
114511	unknown	16	2000	2.5	45900
114556	Dell	16	500	2.3	72900
114610	hp	4	500	2.5	52900
114671	Dell	16	500	2.5	77900
114871	Lenovo	16	1000	2.5	49900
115064	MSI	4	500	1.8	40900
115164	Toshiba	8	2000	1.8	50900
115200	unknown	16	500	3	69900
115459	Samsung	16	2000	2.5	67900
115481	HP	4	500	2.5	57900
115538	Apple	16	500	2.5	122900
115583	Asus	16	500	3.2	83900
115631	Samsung	8	1000	3	70900
115956	Acer	16	1000	2.5	65900
116073	DELL	4	2000	3.2	92900
116090	hp	16	1000	2.5	70900
116090	hp	16	1000	2.5	70900
116103	HP	16	1000	1.8	46900
116293	asus	4	2000	1.8	43900
116614	Acer	8	500	2.3	45900
116923	Acer	8	1000	3.2	74900
116954	Dell	4	2000	2.3	59900
